CustID,Age,MembersInFamily,Occupation,Area,TenureInMonths,AvgSTDCalls,AvgLocalCalls,AvgDataUsage,BillPaymentMode,AvgAmount,Churned
ID10135,34,3,1,Area1,11,19,15,173,2,1253,0
ID10136,26,3,1,Area1,5,9,9,1682,1,1018,1
ID10137,30,2,3,Area1,9,12,12,1296,2,712,1
ID10138,39,4,2,Area1,13,20,20,3023,2,945,0
ID10139,40,3,3,Area1,15,9,9,3872,2,1256,1
ID10140,25,2,2,Area1,13,10,10,86,2,333,1
ID10141,31,2,3,Area1,13,11,11,73,2,971,0
ID10142,39,3,3,Area1,16,26,26,10502,2,698,0
ID10143,26,2,3,Area1,6,13,13,90,2,562,1
ID10144,27,4,2,Area1,9,21,18,774,2,1429,1
ID10145,25,2,3,Area1,12,9,9,1184,2,787,0
ID10146,39,2,3,Area1,16,15,13,987,1,1259,0
ID10147,33,3,2,Area1,11,16,14,3610,2,774,0
ID10148,25,3,1,Area1,13,9,8,2227,2,1097,1
ID10149,36,3,3,Area1,16,34,23,2144,1,1320,1
ID10150,28,2,1,Area1,14,18,15,452,2,496,0
ID10151,26,4,1,Area1,10,14,10,690,2,329,0
ID10152,39,3,3,Area1,15,40,35,1831,2,1340,0
ID10153,37,5,1,Area1,13,9,9,218,2,616,0
ID10154,31,3,1,Area1,16,26,20,2681,2,935,0
ID10155,25,2,2,Area1,8,12,12,703,2,1302,1
ID10156,29,3,1,Area1,15,20,20,511,1,702,0
ID10157,30,2,2,Area1,16,13,13,663,2,1188,1
ID10158,29,5,2,Area1,13,27,19,3040,1,608,0
ID10159,34,5,1,Area1,12,10,8,474,1,691,0
ID10160,27,3,3,Area1,17,14,14,2119,2,682,1
ID10161,25,3,1,Area1,8,11,11,51,2,448,0
ID10162,40,3,2,Area1,17,14,12,893,1,1399,0
ID10163,37,3,2,Area1,13,22,22,3119,2,652,0
ID10164,34,4,3,Area1,15,55,51,5313,2,359,0
ID10165,26,2,3,Area1,14,10,10,340,2,1496,1
ID10166,30,2,2,Area1,9,15,15,2056,2,1268,1
ID10167,30,2,2,Area1,13,11,9,1916,1,1383,1
ID10168,36,3,1,Area1,16,28,20,993,1,762,0
ID10169,40,3,1,Area1,10,13,11,854,2,1036,0
ID10170,35,2,2,Area1,16,26,25,2035,2,903,1
ID10171,33,3,3,Area1,16,14,14,1713,2,674,0
ID10172,27,3,1,Area2,17,15,15,2196,2,824,0
ID10173,39,4,3,Area1,12,14,14,1809,2,580,0
ID10174,34,3,1,Area1,14,22,15,1337,1,1352,0
ID10175,25,4,3,Area1,13,21,15,320,2,838,0
ID10176,32,2,3,Area1,16,9,9,2401,2,1308,1
ID10177,38,2,1,Area1,15,21,16,638,2,305,0
ID10178,37,2,3,Area1,12,8,8,257,1,926,0
ID10179,25,2,2,Area1,11,10,10,1123,2,920,1
ID10180,35,3,2,Area1,10,17,17,653,2,957,0
ID10181,35,5,3,Area1,13,9,9,778,2,841,0
ID10182,38,3,3,Area1,15,16,16,3758,2,1494,1
ID10183,30,3,1,Area1,14,7,7,769,2,1137,1
ID10184,38,3,2,Area1,12,27,27,1225,2,784,0
ID10185,31,2,1,Area1,13,9,9,1134,2,429,0
ID10186,38,2,2,Area1,15,16,16,2016,2,1365,1
ID10187,29,4,2,Area1,13,11,11,1964,2,648,0
ID10188,28,3,1,Area1,5,10,10,2871,2,1204,1
ID10189,40,5,1,Area1,14,23,20,2459,2,1179,1
ID10190,38,3,1,Area1,16,6,6,492,2,926,0
ID10191,33,4,3,Area1,8,15,12,206,2,1434,0
ID10192,33,2,3,Area1,14,23,18,398,2,845,0
ID10193,30,3,2,Area1,14,12,11,938,2,679,0
ID10194,33,4,1,Area1,14,25,20,1185,1,857,0
ID10195,36,2,1,Area1,13,24,21,454,2,836,0
ID10196,36,3,3,Area1,13,13,9,2545,2,1302,1
ID10197,26,4,3,Area1,13,11,11,480,2,1104,1
ID10198,38,3,3,Area1,13,26,18,662,2,1338,0
ID10199,31,2,2,Area1,15,19,13,3157,2,1253,1
ID10200,32,2,3,Area1,12,7,7,270,2,333,0
ID10201,28,3,1,Area1,15,19,14,199,2,942,0
ID10202,33,3,1,Area1,14,14,10,218,2,471,0
ID10203,39,2,1,Area1,17,14,11,4679,2,668,1
ID10204,25,3,3,Area1,12,9,9,984,2,1150,0
ID10205,36,4,3,Area1,14,12,8,1473,2,1192,0
ID10206,25,3,3,Area1,16,16,13,1887,2,1067,0
ID10207,38,4,3,Area1,11,20,15,1260,2,1056,0
ID10208,27,3,3,Area1,8,9,9,0,2,1111,1
ID10209,27,3,3,Area1,10,15,15,419,2,456,0
ID10210,39,3,1,Area1,14,17,14,964,2,413,0
ID10211,27,2,2,Area1,15,18,18,1474,2,403,0
ID10212,36,3,3,Area1,15,19,18,4186,1,1352,0
ID10213,33,3,3,Area1,16,45,40,4646,2,845,0
ID10214,31,3,2,Area1,13,12,11,2921,2,566,0
ID10215,39,2,3,Area1,12,7,7,279,2,396,0
ID10216,27,3,3,Area2,5,8,8,365,2,787,1
ID10217,35,3,2,Area1,12,9,9,953,2,905,0
ID10218,40,3,1,Area1,13,12,11,1582,1,766,0
ID10219,36,3,1,Area1,9,1,1,0,2,464,0
ID10220,28,4,3,Area1,12,8,8,2,2,697,0
ID10221,37,3,3,Area1,14,33,21,1355,1,1138,0
ID10222,25,2,3,Area1,14,18,15,528,2,795,1
ID10223,25,2,2,Area1,16,13,13,686,2,1460,1
ID10224,27,3,2,Area1,13,13,13,693,2,666,0
ID10225,30,4,1,Area1,15,28,23,972,1,1344,1
ID10226,28,3,2,Area1,13,34,18,1680,1,1001,0
ID10227,33,4,3,Area1,16,47,35,1779,1,658,0
ID10228,29,2,2,Area1,10,12,12,168,2,1461,1
ID10229,34,3,1,Area1,13,21,21,6395,2,548,0
ID10230,26,4,2,Area1,14,9,9,236,2,314,0
ID10231,31,3,1,Area1,4,13,11,369,2,1468,0
ID10232,25,3,3,Area1,10,10,10,74,2,393,0
ID10233,25,6,1,Area1,14,22,27,122,2,1024,1
ID10234,26,3,2,Area1,5,7,24,3,2,626,1
ID10235,39,3,1,Area1,16,13,13,4576,2,441,0
ID10236,29,3,2,Area1,11,14,14,1969,2,435,0
ID10237,34,4,3,Area1,13,7,8,334,2,561,0
ID10238,25,3,1,Area1,6,18,18,150,2,1021,1
ID10239,37,5,3,Area1,9,13,13,1696,2,1013,1
ID10240,38,3,3,Area1,16,10,9,1178,2,443,0
ID10241,29,3,2,Area1,9,14,13,1896,2,341,1
ID10242,34,4,1,Area1,13,10,8,3133,1,557,0
ID10243,33,3,2,Area1,14,15,15,774,2,434,0
ID10244,29,3,2,Area1,12,6,6,2467,2,1437,1
ID10245,31,2,3,Area1,15,11,9,4521,1,368,0
ID10246,37,3,2,Area1,13,8,8,1614,1,785,0
ID10247,31,2,2,Area1,8,11,10,266,2,516,0
ID10248,39,2,1,Area1,16,17,17,1184,2,844,0
ID10249,40,2,3,Area1,8,14,14,1136,2,1081,1
ID10250,39,2,3,Area1,15,13,13,220,2,701,0
ID10251,40,4,3,Area1,6,17,17,1654,2,1277,0
ID10252,28,4,1,Area1,10,12,9,3618,2,446,0
ID10253,30,3,3,Area1,8,24,18,1607,2,1325,1
ID10254,36,2,1,Area1,13,30,26,677,2,1464,1
ID10255,33,3,3,Area1,16,9,9,4295,1,714,0
ID10256,34,2,1,Area1,16,14,14,5826,2,891,0
ID10257,36,5,3,Area1,8,15,15,173,2,1304,1
ID10258,26,4,1,Area1,16,64,64,5951,2,892,0
ID10259,33,2,1,Area1,11,24,19,2448,2,1466,1
ID10260,26,2,1,Area1,6,9,9,642,2,958,1
ID10261,29,2,2,Area1,12,24,18,0,2,1183,1
ID10262,35,3,1,Area1,13,16,16,2823,2,1405,1
ID10263,38,3,1,Area1,7,14,11,1969,2,1336,0
ID10264,31,2,2,Area1,10,26,23,4503,2,496,1
ID10265,39,2,2,Area1,8,12,12,432,2,1379,1
ID10266,37,3,3,Area1,9,13,8,1676,2,1238,0
ID10267,35,2,2,Area1,13,15,13,1093,2,727,0
ID10268,33,3,2,Area1,16,11,11,952,2,598,0
ID10269,32,3,2,Area1,15,24,18,2014,1,396,0
ID10270,37,2,2,Area1,8,18,18,619,2,847,1
ID10271,31,2,3,Area1,14,14,14,295,2,1168,0
ID10272,33,5,1,Area1,8,17,13,1283,2,929,0
ID10273,25,2,2,Area1,11,14,10,146,1,621,1
ID10274,40,4,3,Area1,7,14,14,204,2,1485,0
ID10275,29,3,2,Area1,12,25,24,2913,2,392,0
ID10276,31,5,3,Area1,15,24,24,1397,2,669,0
ID10277,40,3,2,Area1,14,14,14,2854,2,1235,1
ID10278,26,3,3,Area1,15,13,13,1102,2,801,0
ID10279,35,3,3,Area1,14,18,18,2399,2,1073,0
ID10280,28,4,3,Area1,13,16,16,552,2,1179,0
ID10281,25,3,3,Area1,16,31,17,691,1,1471,1
ID10282,27,3,3,Area1,17,12,12,3378,2,307,0
ID10283,29,4,2,Area1,16,9,9,412,2,1378,0
ID10284,29,2,1,Area1,9,22,13,602,1,755,1
ID10285,33,3,2,Area1,11,11,11,477,2,362,0
ID10286,25,4,1,Area1,16,15,13,6800,2,1010,1
ID10287,26,3,1,Area1,10,9,8,1755,1,1432,1
ID10288,28,2,2,Area1,13,13,13,337,2,1048,1
ID10289,31,2,3,Area1,13,17,13,635,1,1275,1
ID10290,29,4,2,Area2,13,11,11,1197,2,337,0
ID10291,38,2,1,Area1,13,11,11,202,2,1011,0
ID10292,29,2,2,Area1,16,14,12,163,2,994,1
ID10293,37,4,1,Area1,13,13,9,141,2,654,0
ID10294,33,2,3,Area1,9,15,12,1581,2,1235,1
ID10295,32,3,2,Area1,16,10,8,10,1,1402,0
ID10296,30,3,1,Area1,15,68,68,2359,2,968,1
ID10297,25,2,1,Area1,7,10,10,1021,2,1473,1
ID10298,30,4,2,Area1,9,14,14,537,2,400,1
ID10299,29,3,2,Area1,14,15,14,711,2,1345,0
ID10300,25,2,1,Area1,13,3,3,0,2,982,1
ID10301,33,5,1,Area1,10,16,12,69,1,1224,0
ID10302,26,3,2,Area1,7,16,10,243,1,689,1
ID10303,29,6,3,Area1,16,16,15,1970,2,1259,0
ID10304,39,3,3,Area1,16,26,26,3036,2,550,0
ID10305,32,3,2,Area1,15,18,18,759,2,539,0
ID10306,40,4,1,Area1,15,12,12,171,1,1121,0
ID10307,30,2,3,Area1,17,14,14,59,2,778,1
ID10308,27,3,1,Area1,8,18,14,481,1,448,1
ID10309,25,5,3,Area1,17,16,13,490,2,938,0
ID10310,32,3,1,Area1,16,12,11,820,1,1339,0
ID10311,29,5,1,Area1,8,13,11,3902,2,1405,1
ID10312,33,2,2,Area1,12,10,10,955,2,610,0
ID10313,25,3,2,Area1,16,20,19,2505,2,774,0
ID10314,30,2,1,Area1,7,11,11,1670,2,924,1
ID10315,29,3,1,Area1,15,16,12,3192,2,662,1
ID10316,35,3,2,Area1,14,18,14,1807,2,1300,0
ID10317,26,2,3,Area1,15,20,20,885,2,378,0
ID10318,36,2,3,Area1,12,22,15,258,2,905,0
ID10319,35,3,2,Area1,15,15,15,5092,2,512,0
ID10320,34,5,2,Area1,7,22,19,1106,2,333,0
ID10321,27,3,2,Area1,9,16,16,2910,2,1415,1
ID10322,31,3,3,Area1,13,13,13,687,2,1240,0
ID10323,36,3,2,Area1,16,18,18,697,2,782,0
ID10324,35,3,1,Area1,13,11,8,1319,1,1298,0
ID10325,29,3,3,Area1,14,13,13,741,2,1368,0
ID10326,25,2,1,Area1,15,29,21,2521,2,749,1
ID10327,39,6,2,Area1,9,11,10,156,2,1312,0
ID10328,27,2,3,Area1,6,20,18,1220,2,1319,1
ID10329,33,2,2,Area1,13,11,11,586,2,793,0
ID10330,25,4,1,Area1,13,26,15,596,2,1390,1
ID10331,34,3,2,Area1,12,10,10,419,2,501,0
ID10332,25,4,1,Area1,17,16,16,2818,2,936,0
ID10333,37,4,2,Area1,10,27,21,4316,2,634,0
ID10334,37,2,2,Area1,16,33,30,453,2,543,0
ID10335,31,5,3,Area1,15,31,27,2303,1,835,0
ID10336,32,3,1,Area1,13,7,7,112,2,573,0
ID10337,34,5,1,Area2,16,15,15,5508,2,321,0
ID10338,31,4,3,Area1,14,17,15,3740,1,730,0
ID10339,34,5,2,Area2,16,22,15,1548,2,1188,0
ID10340,36,3,2,Area1,16,19,15,1917,1,575,0
ID10341,25,3,3,Area1,5,15,15,211,2,999,0
ID10342,39,3,2,Area1,7,12,11,1261,1,697,0
ID10343,33,5,3,Area1,14,10,9,43,2,713,0
ID10344,32,5,2,Area1,7,13,10,308,2,594,0
ID10345,34,2,1,Area1,14,22,14,527,2,1309,1
ID10346,32,4,2,Area1,16,13,10,409,2,1072,0
ID10347,39,2,1,Area1,8,16,16,392,2,601,1
ID10348,34,3,1,Area1,8,12,10,2300,2,1300,1
ID10349,40,3,3,Area1,12,17,17,5035,2,445,0
ID10350,25,3,3,Area1,13,19,19,4085,2,1259,1
ID10351,25,4,1,Area1,10,21,20,430,2,1301,0
ID10352,34,2,2,Area1,14,8,8,495,2,1304,0
ID10353,37,5,2,Area1,7,13,13,1579,2,440,0
ID10354,25,3,2,Area1,14,17,17,5932,2,681,0
ID10355,34,2,3,Area1,13,19,19,624,2,1382,0
ID10356,28,2,3,Area1,14,27,24,846,1,1261,1
ID10357,36,3,3,Area1,15,17,17,2777,2,874,0
ID10358,33,2,2,Area1,11,9,9,1201,2,688,0
ID10359,29,2,3,Area1,11,14,14,836,1,737,1
ID10360,33,3,2,Area1,15,11,11,239,2,435,0
ID10361,25,3,2,Area1,11,13,13,2354,2,1493,1
ID10362,40,3,3,Area1,14,12,11,438,2,1434,0
ID10363,37,4,1,Area1,16,9,8,8082,1,624,0
ID10364,29,5,3,Area1,14,18,13,1893,1,856,0
ID10365,35,2,1,Area1,14,8,8,1179,2,448,0
ID10366,30,2,2,Area1,13,15,15,844,2,1238,1
ID10367,33,3,3,Area1,13,13,11,1247,2,1121,0
ID10368,27,3,2,Area1,12,12,12,86,1,854,0
ID10369,28,3,1,Area1,15,17,17,347,2,986,0
ID10370,37,3,3,Area1,14,10,10,3105,2,914,0
ID10371,38,4,2,Area1,11,17,15,1723,2,628,0
ID10372,37,3,1,Area2,14,15,15,823,2,1126,0
ID10373,29,3,1,Area1,16,27,27,3151,2,397,0
ID10374,29,3,3,Area1,14,18,18,573,2,851,0
ID10375,31,4,2,Area1,10,10,10,698,2,1229,0
ID10376,39,3,2,Area1,16,20,19,992,2,806,0
ID10377,37,3,3,Area1,13,45,34,1547,2,643,0
ID10378,35,5,3,Area1,13,13,13,1161,2,820,0
ID10379,25,3,3,Area1,8,15,15,653,2,941,1
ID10380,25,3,3,Area1,7,10,9,731,1,1359,1
ID10381,26,2,3,Area1,10,19,16,118,2,733,1
ID10382,31,2,2,Area2,12,12,12,181,2,706,0
ID10383,29,3,1,Area1,12,14,12,194,2,1139,1
ID10384,40,3,2,Area1,9,12,10,1660,1,1111,0
ID10385,30,2,2,Area1,6,12,12,1206,2,1011,1
ID10386,36,3,1,Area1,14,8,8,3429,2,560,0
ID10387,28,4,3,Area1,12,11,9,481,1,400,0
ID10388,34,2,2,Area1,11,10,10,1146,2,719,0
ID10389,32,3,3,Area1,16,41,36,3589,2,1084,1
ID10390,30,3,3,Area1,15,11,10,2836,2,821,0
ID10391,39,4,3,Area1,12,14,9,28,1,1129,0
ID10392,34,4,1,Area1,14,6,6,888,2,696,0
ID10393,34,3,2,Area1,10,10,9,465,2,906,0
ID10394,27,2,2,Area1,11,8,8,221,2,843,1
ID10395,34,2,1,Area1,14,21,14,2917,1,675,0
ID10396,38,3,1,Area1,16,13,12,770,2,560,0
ID10397,31,3,2,Area1,16,8,8,952,2,527,0
ID10398,35,3,3,Area1,16,36,25,3403,2,934,0
ID10399,34,3,3,Area1,14,10,9,2657,2,934,0
ID10400,32,5,3,Area1,16,19,19,2211,2,575,0
ID10401,27,3,2,Area1,13,15,15,3866,1,922,0
ID10402,33,3,2,Area1,13,12,10,1084,1,1080,0
ID10403,40,3,1,Area1,14,18,18,961,2,1351,0
ID10404,26,3,3,Area1,5,16,16,375,1,1022,1
ID10405,34,2,1,Area1,14,8,8,901,2,1397,0
ID10406,38,3,1,Area1,9,18,18,1757,2,1479,0
ID10407,40,3,2,Area1,12,24,24,626,2,1106,0
ID10408,40,3,3,Area1,17,29,27,3179,2,695,0
ID10409,26,3,2,Area1,13,9,11,2712,2,635,0
ID10410,27,3,3,Area1,10,10,10,836,2,502,0
ID10411,37,3,1,Area1,17,21,21,468,2,821,0
ID10412,40,3,1,Area1,13,19,19,3299,2,535,0
ID10413,26,3,2,Area1,13,20,17,943,2,811,0
ID10414,32,3,1,Area1,12,12,10,776,2,1410,0
ID10415,28,4,2,Area1,15,27,18,6865,1,359,0
ID10416,37,5,2,Area1,16,14,11,825,2,1224,0
ID10417,37,4,1,Area1,14,17,16,931,1,1413,0
ID10418,35,2,2,Area1,4,31,25,1040,1,783,1
ID10419,28,3,2,Area1,5,15,12,235,2,423,1
ID10420,30,3,3,Area1,8,11,11,568,2,330,1
ID10421,36,3,3,Area1,12,41,25,321,2,1057,0
ID10422,25,4,3,Area1,10,8,9,863,2,1455,1
ID10423,26,3,2,Area1,14,23,23,4595,2,915,1
ID10424,25,3,3,Area1,6,14,14,1076,2,704,1
ID10425,25,2,3,Area2,15,12,11,5917,1,496,1
ID10426,33,5,2,Area1,14,36,32,23746,2,887,0
ID10427,39,3,3,Area1,13,19,16,520,2,311,0
ID10428,33,5,2,Area1,15,18,15,994,2,896,0
ID10429,34,4,1,Area1,9,12,12,999,2,771,0
ID10430,28,2,3,Area1,16,10,10,649,2,498,0
ID10431,27,3,3,Area1,13,10,9,287,2,1081,1
ID10432,38,5,3,Area1,16,13,13,2242,2,1149,1
ID10433,36,3,3,Area1,9,10,10,4234,2,802,0
ID10434,39,3,2,Area1,14,37,36,975,2,1176,0
ID10435,40,6,1,Area1,12,10,10,1433,2,1381,0
ID10436,36,3,2,Area1,13,28,21,1481,1,1268,0
ID10437,28,3,1,Area1,12,26,22,1470,2,690,0
ID10438,28,3,2,Area1,5,9,6,826,1,491,1
ID10439,38,3,3,Area1,13,20,16,1940,2,818,0
ID10440,37,5,2,Area1,8,10,8,4073,1,621,1
ID10441,25,3,2,Area1,12,16,16,1170,2,557,0
ID10442,26,2,3,Area1,13,17,17,1033,2,1101,1
ID10443,35,2,1,Area1,9,18,18,758,2,996,1
ID10444,38,3,3,Area1,9,15,12,316,1,677,0
ID10445,30,4,3,Area1,12,23,22,2754,2,529,0
ID10446,38,6,1,Area1,14,22,21,2146,2,489,0
ID10447,30,3,3,Area1,8,16,13,724,2,1288,1
ID10448,30,4,1,Area1,14,19,19,1821,2,765,0
ID10449,30,2,3,Area1,13,13,12,191,1,1178,1
ID10450,36,3,2,Area1,16,20,16,2220,2,743,0
ID10451,27,2,2,Area1,16,9,9,223,2,1457,1
ID10452,36,4,3,Area1,14,11,10,1292,2,389,0
ID10453,39,3,1,Area1,15,10,10,1452,2,534,0
ID10454,36,4,1,Area1,13,28,20,3051,2,520,0
ID10455,28,4,3,Area1,14,10,10,2083,2,1300,1
ID10456,26,2,3,Area1,16,21,21,982,2,1208,1
ID10457,36,3,1,Area1,16,29,21,2112,2,322,0
ID10458,25,4,2,Area1,14,16,16,742,2,1223,0
ID10459,31,5,3,Area1,14,20,20,1825,2,627,0
ID10460,30,2,3,Area1,12,13,11,454,2,1305,1
ID10461,39,4,2,Area1,14,18,18,560,2,1202,0
ID10462,25,3,2,Area1,11,8,8,1976,2,615,0
