Date,Value
03-03-2010,79.13
03-03-2010,78.92
03-03-2010,73.5
03-03-2010,77.75
04-03-2010,73.47
04-03-2010,73.5
04-03-2010,78.92
04-03-2010,77.75
05-03-2010,73.47
05-03-2010,79.13
05-03-2010,78.92
05-03-2010,73.5
05-03-2010,77.75
06-03-2010,73.47
06-03-2010,79.13
06-03-2010,78.92
06-03-2010,73.5
06-03-2010,77.75
07-03-2010,73.47
07-03-2010,79.13
07-03-2010,73.5
07-03-2010,77.75
07-03-2010,78.92
08-03-2010,78.92
08-03-2010,78.92
08-03-2010,73.47
08-03-2010,73.5
08-03-2010,77.75
09-03-2010,78.92
09-03-2010,78.92
09-03-2010,73.47
09-03-2010,73.5
09-03-2010,77.75
10-03-2010,73.47
10-03-2010,78.92
10-03-2010,73.5
10-03-2010,77.75
10-03-2010,78.92
12-03-2010,73.47
12-03-2010,78.92
12-03-2010,78.92
12-03-2010,73.5
12-03-2010,77.75
13-03-2010,78.92
13-03-2010,78.92
13-03-2010,73.47
13-03-2010,73.5
13-03-2010,77.75
14-03-2010,78.92
14-03-2010,73.47
14-03-2010,78.92
14-03-2010,73.5
14-03-2010,77.75
15-03-2010,78.92
15-03-2010,73.47
15-03-2010,73.5
15-03-2010,78.92
15-03-2010,77.75
16-03-2010,73.47
16-03-2010,78.92
16-03-2010,73.5
16-03-2010,77.75
16-03-2010,78.92
18-03-2010,73.47
18-03-2010,78.92
18-03-2010,73.5
18-03-2010,73.5
18-03-2010,78.92
18-03-2010,77.75
19-03-2010,73.5
19-03-2010,78.92
19-03-2010,73.47
19-03-2010,78.92
19-03-2010,73.5
19-03-2010,77.75
20-03-2010,78.92
20-03-2010,73.5
20-03-2010,78.92
20-03-2010,73.47
20-03-2010,73.5
20-03-2010,77.75
21-03-2010,73.5
21-03-2010,78.92
21-03-2010,78.92
21-03-2010,73.47
21-03-2010,73.5
21-03-2010,77.75
22-03-2010,73.47
22-03-2010,78.92
22-03-2010,73.5
22-03-2010,73.5
22-03-2010,77.75
22-03-2010,78.92
23-03-2010,78.92
23-03-2010,73.47
23-03-2010,73.5
23-03-2010,73.5
23-03-2010,77.75
24-03-2010,73.5
24-03-2010,71.5
24-03-2010,73.47
24-03-2010,73.5
25-03-2010,73.5
25-03-2010,73.47
25-03-2010,73.5
25-03-2010,77.75
26-03-2010,73.5
26-03-2010,73.47
26-03-2010,73.5
26-03-2010,77.75
27-03-2010,73.47
27-03-2010,73.5
27-03-2010,73.5
27-03-2010,77.75
28-03-2010,73.5
28-03-2010,73.47
28-03-2010,73.5
28-03-2010,77.75
29-03-2010,73.5
29-03-2010,73.47
29-03-2010,73.5
29-03-2010,77.75
30-03-2010,73.47
30-03-2010,73.5
30-03-2010,77.75
30-03-2010,73.5
31-03-2010,73.5
31-03-2010,73.47
31-03-2010,73.5
31-03-2010,77.75
01-04-2010,73.47
01-04-2010,73.5
01-04-2010,77.75
02-04-2010,68.49
02-04-2010,73.5
02-04-2010,77.75
03-04-2010,68.49
03-04-2010,73.5
03-04-2010,77.75
04-04-2010,68.49
04-04-2010,73.5
04-04-2010,77.75
05-04-2010,68.49
05-04-2010,73.5
05-04-2010,77.75
06-04-2010,68.49
06-04-2010,73.5
06-04-2010,77.75
07-04-2010,68.49
07-04-2010,73.5
07-04-2010,77.75
07-04-2010,68.49
08-04-2010,68.49
08-04-2010,68.49
08-04-2010,73.5
08-04-2010,77.75
09-04-2010,68.49
09-04-2010,68.49
09-04-2010,73.5
09-04-2010,77.75
10-04-2010,68.49
10-04-2010,73.5
10-04-2010,68.49
10-04-2010,77.75
11-04-2010,68.49
11-04-2010,68.49
11-04-2010,73.5
11-04-2010,77.75
12-04-2010,68.49
12-04-2010,68.49
12-04-2010,73.5
13-04-2010,68.49
13-04-2010,68.49
13-04-2010,73.5
14-04-2010,68.49
14-04-2010,68.49
14-04-2010,73.5
15-04-2010,68.49
15-04-2010,68.49
15-04-2010,73.5
16-04-2010,68.49
16-04-2010,68.49
16-04-2010,73.5
17-04-2010,68.49
17-04-2010,68.49
17-04-2010,73.5
18-04-2010,46.5
18-04-2010,68.49
18-04-2010,46.49
18-04-2010,66.49
19-04-2010,46.5
19-04-2010,46.49
19-04-2010,66.49
19-04-2010,68.49
20-04-2010,46.49
20-04-2010,46.5
20-04-2010,68.49
20-04-2010,66.49
21-04-2010,46.5
21-04-2010,46.49
21-04-2010,68.49
21-04-2010,66.49
22-04-2010,46.5
22-04-2010,46.49
22-04-2010,68.49
22-04-2010,66.49
23-04-2010,68.49
23-04-2010,46.49
23-04-2010,66.49
23-04-2010,46.5
24-04-2010,46.5
24-04-2010,46.49
24-04-2010,68.49
24-04-2010,66.49
25-04-2010,46.49
25-04-2010,68.49
25-04-2010,46.48
25-04-2010,66.49
26-04-2010,46.48
26-04-2010,46.49
26-04-2010,68.49
26-04-2010,66.49
27-04-2010,46.49
27-04-2010,46.48
27-04-2010,68.49
27-04-2010,66.49
28-04-2010,46.49
28-04-2010,46.48
28-04-2010,68.49
28-04-2010,66.49
29-04-2010,46.48
29-04-2010,68.49
29-04-2010,46.49
29-04-2010,66.49
30-04-2010,46.49
30-04-2010,36.49
30-04-2010,68.49
30-04-2010,66.49
01-05-2010,46.49
01-05-2010,36.49
01-05-2010,66.49
01-05-2010,68.49
02-05-2010,46.49
02-05-2010,36.49
02-05-2010,68.49
02-05-2010,66.49
03-05-2010,36.49
03-05-2010,66.49
03-05-2010,31.49
03-05-2010,46.49
04-05-2010,36.49
04-05-2010,46.49
04-05-2010,31.49
04-05-2010,66.49
05-05-2010,31.49
05-05-2010,46.49
05-05-2010,36.49
05-05-2010,66.49
06-05-2010,51.5
06-05-2010,46.49
06-05-2010,36.49
06-05-2010,66.49
07-05-2010,46.49
07-05-2010,36.49
07-05-2010,66.49
08-05-2010,51.49
09-05-2010,51.49
21-05-2010,41.5
23-05-2010,41.5
24-05-2010,41.5
25-05-2010,41.5
26-05-2010,41.5
27-05-2010,41.5
27-05-2010,40.5
28-05-2010,41.5
28-05-2010,40.5
29-05-2010,40.5
29-05-2010,41.5
29-05-2010,37.49
30-05-2010,40.5
30-05-2010,41.5
30-05-2010,37.49
31-05-2010,40.5
31-05-2010,41.5
31-05-2010,37.49
01-06-2010,40.5
01-06-2010,41.5
01-06-2010,37.49
02-06-2010,40.5
02-06-2010,41.5
03-06-2010,40.5
03-06-2010,41.5
04-06-2010,41.5
04-06-2010,40.5
05-06-2010,41.5
05-06-2010,40.5
06-06-2010,41.5
06-06-2010,40.5
07-06-2010,40.5
07-06-2010,41.5
08-06-2010,40.5
08-06-2010,41.5
09-06-2010,41.5
09-06-2010,40.5
10-06-2010,41.5
10-06-2010,40.5
11-06-2010,60.5
19-06-2010,60.5
19-06-2010,54.5
20-06-2010,54.5
20-06-2010,60.5
21-06-2010,54.5
22-06-2010,54.5
23-06-2010,54.5
24-06-2010,54.5
25-06-2010,54.5
26-06-2010,54.5
27-06-2010,54.5
28-06-2010,54.5
29-06-2010,54.5
02-07-2010,54.5
03-07-2010,54.5
04-07-2010,60.5
04-07-2010,54.5
05-07-2010,60.5
05-07-2010,54.5
06-07-2010,54.5
07-07-2010,54.5
08-07-2010,54.5
09-07-2010,54.5
10-07-2010,50.5
10-07-2010,54.5
12-07-2010,50.5
13-07-2010,50.5
14-07-2010,50.5
15-07-2010,39.45
15-07-2010,50.5
16-07-2010,39.45
16-07-2010,50.5
17-07-2010,50.5
17-07-2010,39.45
18-07-2010,50.5
18-07-2010,39.45
19-07-2010,39.45
19-07-2010,50.5
20-07-2010,39.45
20-07-2010,50.5
21-07-2010,50.5
21-07-2010,39.45
22-07-2010,39.45
24-07-2010,39.45
24-07-2010,50.5
25-07-2010,39.45
25-07-2010,50.5
26-07-2010,39.45
26-07-2010,50.5
27-07-2010,54.5
27-07-2010,39.45
28-07-2010,54.5
28-07-2010,39.45
29-07-2010,39.45
29-07-2010,54.5
30-07-2010,54.5
31-07-2010,54.5
01-08-2010,54.5
02-08-2010,54.5
03-08-2010,54.5
04-08-2010,54.5
11-08-2010,69
11-08-2010,69
11-08-2010,69
11-08-2010,69
11-08-2010,69
11-08-2010,68.99
11-08-2010,69
12-08-2010,69
12-08-2010,69.83
12-08-2010,72.25
12-08-2010,65
12-08-2010,65
12-08-2010,65
12-08-2010,65
12-08-2010,65
13-08-2010,67.49
13-08-2010,65
13-08-2010,65
13-08-2010,65
13-08-2010,65
13-08-2010,65
14-08-2010,72.25
14-08-2010,67.49
14-08-2010,69.83
14-08-2010,72.25
14-08-2010,65
14-08-2010,65
14-08-2010,65
14-08-2010,65
14-08-2010,65
15-08-2010,72.25
15-08-2010,72.25
15-08-2010,69.83
15-08-2010,72.95
15-08-2010,72.95
15-08-2010,72.95
15-08-2010,72.95
16-08-2010,69.83
16-08-2010,72.25
16-08-2010,72.25
16-08-2010,72.95
16-08-2010,72.95
16-08-2010,72.95
16-08-2010,72.95
17-08-2010,72.95
17-08-2010,72.95
17-08-2010,72.95
17-08-2010,72.95
17-08-2010,72.95
17-08-2010,72.95
22-08-2010,72.95
22-08-2010,72.95
22-08-2010,72.95
22-08-2010,72.95
22-08-2010,76.49
22-08-2010,72.95
23-08-2010,72.95
23-08-2010,72.95
23-08-2010,72.95
23-08-2010,76.49
23-08-2010,77.75
24-08-2010,73.5
24-08-2010,73.48
24-08-2010,76.5
24-08-2010,76.49
24-08-2010,77.75
25-08-2010,72.85
25-08-2010,76.5
25-08-2010,76.49
25-08-2010,77.75
26-08-2010,86.5
26-08-2010,107.13
26-08-2010,90.5
26-08-2010,97.25
27-08-2010,111.2
27-08-2010,90.5
27-08-2010,86.5
27-08-2010,107.13
27-08-2010,111.19
27-08-2010,81.5
27-08-2010,97.25
28-08-2010,81.5
28-08-2010,90.5
28-08-2010,81.5
28-08-2010,86.5
28-08-2010,107.13
28-08-2010,111.19
28-08-2010,107.12
28-08-2010,97.25
29-08-2010,90.5
29-08-2010,86.5
29-08-2010,107.13
29-08-2010,111.19
29-08-2010,108.61
29-08-2010,107.12
29-08-2010,97.25
29-08-2010,111.2
30-08-2010,111.2
30-08-2010,107.13
30-08-2010,111.17
30-08-2010,97.25
31-08-2010,107.13
31-08-2010,111.2
31-08-2010,111.19
31-08-2010,97.25
01-09-2010,107.13
01-09-2010,111.19
01-09-2010,111.2
02-09-2010,107.13
02-09-2010,111.19
02-09-2010,111.2
03-09-2010,111.2
03-09-2010,97
03-09-2010,107.13
03-09-2010,111.19
03-09-2010,123.25
04-09-2010,100.38
04-09-2010,111
04-09-2010,102.27
04-09-2010,111.2
04-09-2010,100.37
04-09-2010,104.23
04-09-2010,104.25
05-09-2010,100.38
05-09-2010,99.9
05-09-2010,100.01
05-09-2010,111.2
05-09-2010,99.9
05-09-2010,100.37
05-09-2010,104.25
06-09-2010,99.94
06-09-2010,111.2
06-09-2010,100.38
06-09-2010,99.9
06-09-2010,99.9
06-09-2010,104.25
07-09-2010,99.92
07-09-2010,111.2
07-09-2010,100.38
07-09-2010,99.89
07-09-2010,99.9
07-09-2010,104.25
07-09-2010,99.89
08-09-2010,100.38
08-09-2010,99.99
08-09-2010,111.2
08-09-2010,99.88
08-09-2010,99.89
08-09-2010,104.25
12-09-2010,111.2
12-09-2010,96.45
12-09-2010,96.45
12-09-2010,104.25
13-09-2010,111.2
13-09-2010,91.7
13-09-2010,104.25
14-09-2010,111.2
14-09-2010,91.7
14-09-2010,104.25
15-09-2010,111.2
15-09-2010,91.7
15-09-2010,104.25
16-09-2010,91.7
16-09-2010,91.7
16-09-2010,111.2
16-09-2010,91.7
16-09-2010,104.25
17-09-2010,111.2
17-09-2010,104.25
17-09-2010,91.2
18-09-2010,91.2
18-09-2010,91.2
18-09-2010,111.2
18-09-2010,91.2
18-09-2010,104.25
19-09-2010,91.2
19-09-2010,111.2
19-09-2010,91.2
19-09-2010,91.2
19-09-2010,104.25
20-09-2010,91.2
20-09-2010,91.2
20-09-2010,111.2
20-09-2010,91.2
20-09-2010,104.25
21-09-2010,89.76
21-09-2010,89.76
21-09-2010,96.49
21-09-2010,89.76
21-09-2010,104.25
22-09-2010,89.76
22-09-2010,89.76
22-09-2010,111.2
22-09-2010,89.76
22-09-2010,96.49
22-09-2010,104.25
23-09-2010,89.76
23-09-2010,111.2
23-09-2010,89.76
23-09-2010,89.76
23-09-2010,104.25
24-09-2010,111.2
24-09-2010,89.76
24-09-2010,89.76
24-09-2010,104.25
24-09-2010,89.76
25-09-2010,89.76
25-09-2010,111.2
25-09-2010,89.76
25-09-2010,89.76
25-09-2010,104.25
26-09-2010,89.75
26-09-2010,89.76
26-09-2010,89.75
26-09-2010,104.25
27-09-2010,89.75
27-09-2010,89.75
27-09-2010,89.76
28-09-2010,89.75
28-09-2010,89.75
28-09-2010,89.76
28-09-2010,104.25
29-09-2010,74.02
29-09-2010,89.76
29-09-2010,74.02
30-09-2010,74.02
30-09-2010,74.02
30-09-2010,89.76
30-09-2010,101.49
01-10-2010,74.02
01-10-2010,74.02
01-10-2010,89.76
01-10-2010,74.02
02-10-2010,74.02
02-10-2010,74.02
02-10-2010,89.76
03-10-2010,74.02
03-10-2010,74.02
03-10-2010,89.76
04-10-2010,89.76
04-10-2010,101.49
04-10-2010,104.25
05-10-2010,89.76
06-10-2010,89.76
07-10-2010,89.76
07-10-2010,91.49
08-10-2010,91.49
08-10-2010,89.76
09-10-2010,89.76
09-10-2010,91.49
09-10-2010,97.25
12-10-2010,91.49
12-10-2010,89.76
12-10-2010,97.25
13-10-2010,91.49
13-10-2010,89.76
13-10-2010,97.25
14-10-2010,89.76
14-10-2010,91.49
14-10-2010,97.25
15-10-2010,91.49
15-10-2010,89.76
15-10-2010,97.25
17-10-2010,84.78
17-10-2010,69.64
17-10-2010,91.49
18-10-2010,91.49
18-10-2010,61.5
18-10-2010,97.25
19-10-2010,91.49
19-10-2010,61.5
19-10-2010,97.25
20-10-2010,91.49
21-10-2010,91.49
21-10-2010,97.25
22-10-2010,97.25
22-10-2010,91.49
23-10-2010,95.99
23-10-2010,97.25
24-10-2010,95.99
24-10-2010,95.98
24-10-2010,97.25
25-10-2010,95.99
25-10-2010,97.25
25-10-2010,95.98
26-10-2010,95.99
26-10-2010,95.98
26-10-2010,97.25
27-10-2010,95.99
27-10-2010,95.98
27-10-2010,97.25
29-10-2010,81.51
29-10-2010,97.25
30-10-2010,81.51
30-10-2010,97.25
31-10-2010,51.38
31-10-2010,81.51
31-10-2010,97.25
01-11-2010,51.38
01-11-2010,81.51
01-11-2010,97.25
02-11-2010,51.27
02-11-2010,81.51
02-11-2010,97.25
03-11-2010,51.27
03-11-2010,51.27
03-11-2010,51.5
03-11-2010,81.51
04-11-2010,51.17
04-11-2010,51.19
04-11-2010,51.5
04-11-2010,51.21
04-11-2010,81.51
05-11-2010,51.07
05-11-2010,51.07
05-11-2010,51.5
05-11-2010,81.49
05-11-2010,51.21
06-11-2010,51.19
06-11-2010,81.51
06-11-2010,81.49
06-11-2010,51.21
07-11-2010,81.51
07-11-2010,81.49
07-11-2010,97.25
07-11-2010,51.21
08-11-2010,97.25
08-11-2010,51.21
08-11-2010,81.51
09-11-2010,81.51
09-11-2010,51.21
09-11-2010,89.24
09-11-2010,97.25
10-11-2010,81.51
10-11-2010,51.21
10-11-2010,89.24
10-11-2010,97.25
11-11-2010,51.21
11-11-2010,89.24
11-11-2010,97.25
11-11-2010,81.51
12-11-2010,81.51
12-11-2010,89.24
12-11-2010,97.25
12-11-2010,51.21
13-11-2010,107.13
13-11-2010,97.25
13-11-2010,81.51
14-11-2010,107.13
14-11-2010,81.51
14-11-2010,97.25
15-11-2010,107.13
15-11-2010,81.51
15-11-2010,97.25
16-11-2010,107.13
16-11-2010,81.51
16-11-2010,97.25
17-11-2010,107.13
17-11-2010,81.51
17-11-2010,97.25
18-11-2010,107.13
18-11-2010,81.51
18-11-2010,97.25
19-11-2010,107.13
19-11-2010,97.25
19-11-2010,81.51
20-11-2010,107.13
20-11-2010,97.25
20-11-2010,85.51
21-11-2010,85.51
21-11-2010,85.5
21-11-2010,97.25
21-11-2010,69.63
22-11-2010,107.13
22-11-2010,85.51
22-11-2010,69.63
22-11-2010,97.25
23-11-2010,69.63
23-11-2010,85.51
23-11-2010,97.24
23-11-2010,69.63
23-11-2010,97.25
24-11-2010,85.51
24-11-2010,69.63
24-11-2010,69.63
24-11-2010,97.25
25-11-2010,85.51
25-11-2010,69.63
25-11-2010,69.63
25-11-2010,97.25
26-11-2010,85.51
26-11-2010,69.63
26-11-2010,69.63
26-11-2010,97.25
27-11-2010,85.51
27-11-2010,69.63
27-11-2010,69.63
27-11-2010,97.25
28-11-2010,69.63
28-11-2010,85.51
28-11-2010,69.63
28-11-2010,97.24
28-11-2010,97.25
29-11-2010,85.51
29-11-2010,69.63
29-11-2010,97.24
29-11-2010,97.25
29-11-2010,69.63
30-11-2010,69.63
30-11-2010,97.24
30-11-2010,97.25
30-11-2010,85.51
30-11-2010,69.63
01-12-2010,85.51
01-12-2010,69.63
01-12-2010,97.24
01-12-2010,69.63
01-12-2010,97.25
02-12-2010,69.63
02-12-2010,69.63
02-12-2010,69.63
02-12-2010,97.24
02-12-2010,97.25
03-12-2010,69.63
03-12-2010,69.63
03-12-2010,69.63
03-12-2010,95.87
03-12-2010,97.25
04-12-2010,69.63
04-12-2010,69.63
04-12-2010,95.35
04-12-2010,69.63
04-12-2010,97.25
05-12-2010,69.63
05-12-2010,69.63
05-12-2010,95.35
05-12-2010,97.25
05-12-2010,69.63
06-12-2010,69.63
06-12-2010,69.63
06-12-2010,95.35
06-12-2010,97.25
06-12-2010,69.63
07-12-2010,69.63
07-12-2010,69.63
07-12-2010,69.63
07-12-2010,95.35
07-12-2010,97.25
08-12-2010,69.63
08-12-2010,69.63
08-12-2010,69.63
08-12-2010,95.35
08-12-2010,97.25
09-12-2010,69.59
09-12-2010,69.59
09-12-2010,69.59
09-12-2010,95.34
09-12-2010,97.25
10-12-2010,69.57
10-12-2010,95.34
10-12-2010,97.25
11-12-2010,95.34
11-12-2010,69.57
11-12-2010,97.25
12-12-2010,60.5
12-12-2010,97.25
13-12-2010,60.5
13-12-2010,97.25
14-12-2010,60.5
14-12-2010,97.25
15-12-2010,60.5
15-12-2010,88.44
15-12-2010,97.25
16-12-2010,60.5
16-12-2010,88.44
16-12-2010,97.25
17-12-2010,60.5
17-12-2010,88.44
17-12-2010,97.25
18-12-2010,79.63
18-12-2010,60.5
18-12-2010,66.5
18-12-2010,85.16
19-12-2010,79.34
19-12-2010,66.5
19-12-2010,85.16
20-12-2010,79.05
20-12-2010,97.25
21-12-2010,103.54
21-12-2010,97.25
22-12-2010,78.28
22-12-2010,97.25
23-12-2010,78.28
23-12-2010,97.25
24-12-2010,78.28
24-12-2010,97.25
25-12-2010,78.28
25-12-2010,97.25
27-12-2010,78.28
27-12-2010,76.42
27-12-2010,87.94
28-12-2010,78.28
28-12-2010,76.42
28-12-2010,87.94
29-12-2010,78.28
29-12-2010,75.27
29-12-2010,87.94
30-12-2010,78.28
30-12-2010,75.27
30-12-2010,87.94
31-12-2010,78.28
31-12-2010,75.27
31-12-2010,87.94
01-01-2011,71.41
01-01-2011,78.28
02-01-2011,78.28
03-01-2011,78.28
03-01-2011,71.19
04-01-2011,71.19
06-01-2011,71.19
06-01-2011,77.51
07-01-2011,71.19
07-01-2011,78.28
07-01-2011,77.51
07-01-2011,78.74
08-01-2011,71.19
08-01-2011,78.28
08-01-2011,77.74
08-01-2011,77.51
09-01-2011,78.28
09-01-2011,77.51
09-01-2011,71.19
09-01-2011,77.74
11-01-2011,78.28
11-01-2011,77.02
11-01-2011,77.03
11-01-2011,77.54
12-01-2011,77.59
12-01-2011,77.03
12-01-2011,74.19
13-01-2011,78.28
13-01-2011,77.03
13-01-2011,76.5
14-01-2011,78.28
14-01-2011,77.03
14-01-2011,76.5
15-01-2011,76.46
15-01-2011,72
15-01-2011,76.5
16-01-2011,72
16-01-2011,76.5
16-01-2011,87.94
17-01-2011,76.5
17-01-2011,97.25
17-01-2011,95.5
17-01-2011,87.94
18-01-2011,76.5
18-01-2011,97.25
18-01-2011,95.5
18-01-2011,87.94
19-01-2011,76.49
19-01-2011,76.5
19-01-2011,87.94
20-01-2011,72.99
20-01-2011,75.5
20-01-2011,95.5
20-01-2011,87.94
21-01-2011,74.94
21-01-2011,97.25
21-01-2011,98.97
21-01-2011,95.5
21-01-2011,87.94
22-01-2011,97.25
22-01-2011,95.5
22-01-2011,98.97
23-01-2011,91.25
23-01-2011,89.2
23-01-2011,97.25
23-01-2011,95.5
23-01-2011,98.97
24-01-2011,81.5
24-01-2011,95.5
24-01-2011,95.5
24-01-2011,95.5
24-01-2011,97.25
24-01-2011,98.97
25-01-2011,95.5
25-01-2011,95.5
25-01-2011,98.97
25-01-2011,95.5
25-01-2011,97.25
26-01-2011,95.5
26-01-2011,95.5
26-01-2011,95.5
27-01-2011,84.66
27-01-2011,85.09
27-01-2011,98.97
27-01-2011,95.5
27-01-2011,97.25
28-01-2011,95.5
28-01-2011,95.5
28-01-2011,98.97
28-01-2011,97.25
29-01-2011,98.97
29-01-2011,95.5
29-01-2011,98.66
29-01-2011,95.5
29-01-2011,97.25
30-01-2011,98.66
30-01-2011,95.5
30-01-2011,95.5
30-01-2011,97.25
30-01-2011,98.97
31-01-2011,98.66
31-01-2011,95.5
31-01-2011,95.5
31-01-2011,97.25
31-01-2011,98.97
01-02-2011,95.5
01-02-2011,98.66
01-02-2011,95.5
01-02-2011,97.25
01-02-2011,98.97
02-02-2011,95.5
02-02-2011,98.66
02-02-2011,95.5
02-02-2011,97.25
02-02-2011,98.97
03-02-2011,89.49
03-02-2011,95.48
03-02-2011,89.49
03-02-2011,97.25
03-02-2011,95.02
04-02-2011,97.64
04-02-2011,98.04
04-02-2011,94.72
04-02-2011,89.49
04-02-2011,95.02
04-02-2011,89.49
04-02-2011,97.25
05-02-2011,94.72
05-02-2011,89.49
05-02-2011,97.64
05-02-2011,95.02
05-02-2011,97.25
05-02-2011,89.49
06-02-2011,81.5
06-02-2011,94.72
06-02-2011,89.49
06-02-2011,95.02
06-02-2011,89.49
07-02-2011,81.5
07-02-2011,94.72
07-02-2011,89.49
07-02-2011,89.49
08-02-2011,81.5
08-02-2011,89.49
08-02-2011,89.49
09-02-2011,81.5
09-02-2011,89.49
09-02-2011,89.49
10-02-2011,81.5
10-02-2011,81.71
10-02-2011,89.49
11-02-2011,81.5
11-02-2011,81.71
11-02-2011,89.49
12-02-2011,81.5
12-02-2011,81.71
12-02-2011,89.49
13-02-2011,81.5
13-02-2011,81.71
13-02-2011,89.49
14-02-2011,81.71
14-02-2011,89.49
15-02-2011,89.49
15-02-2011,81.71
16-02-2011,81.71
16-02-2011,89.49
17-02-2011,81.71
17-02-2011,72.7
18-02-2011,81.71
18-02-2011,72.7
19-02-2011,81.71
19-02-2011,72.7
20-02-2011,81.71
20-02-2011,72.7
21-02-2011,81.71
21-02-2011,72.7
22-02-2011,81.71
22-02-2011,72.7
23-02-2011,81.71
23-02-2011,72.7
24-02-2011,72.7
24-02-2011,81.71
25-02-2011,81.71
25-02-2011,72.7
26-02-2011,70.9
26-02-2011,70.99
27-02-2011,70.9
28-02-2011,70.9
01-03-2011,70.9
02-03-2011,70.9
03-03-2011,70.9
04-03-2011,68.4
05-03-2011,68.4
06-03-2011,68.4
07-03-2011,68.4
08-03-2011,68.4
09-03-2011,68.4
10-03-2011,68.4
11-03-2011,68.4
12-03-2011,68.4
13-03-2011,84.92
13-03-2011,68.4
14-03-2011,68.4
14-03-2011,84.92
14-03-2011,68.4
15-03-2011,68.4
